contestant_name,age,hometown,profession,industry,num_season,finish,winner,gender,black,asian,latinx,poc,jewish,muslim,lgbt,num_appearance,state,country,region,birthdate,astrological_sign,num_boot,initial-tribe,tribe_color
Chad Crittenden,35,"Oakland,  CA",Teacher,Education,9,8,0,M,0,0,0,0,0,0,0,1,California,US,West,8/8/69,Leo,11,Lopevi,Red
Leann Slaby,35,"Kansasville,  WI",Equity Research Assistant,"Science, Technology, Engineering, Energy",9,7,0,F,0,0,0,0,0,0,0,1,Wisconsin,US,Midwest,7/8/69,Cancer,12,Yasur,Yellow
Ami Cusack,31,"Lakewood,  CO",Coffee Barista,Food and Hospitality,9,6,0,F,0,0,0,0,0,0,1,1,Colorado,US,West,1/25/73,Aquarius,13,Yasur,Yellow
Julie Berry,23,"Gorham,  ME",Youth Mentor,"Nonprofit, Social, Religious",9,5,0,F,0,0,0,0,0,0,0,1,Maine,US,Northeast,12/15/80,Sagittarius,14,Yasur,Yellow
Eliza Orlins,21,"Syracuse,  NY",Pre-Law Student,Education,9,4,0,F,0,0,0,0,1,0,0,1,New York,US,Northeast,12/25/82,Capricorn,15,Yasur,Yellow
Scout Cloud Lee,59,"Stillwater,  OK",Rancher,Agriculture and Environment,9,3,0,F,0,0,0,0,0,0,1,1,Oklahoma,US,South,11/8/44,Scorpio,16,Yasur,Yellow
Twila Tanner,41,"Marshall,  MO",Highway Repair Worker,Transportation & Logistics,9,2,0,F,0,0,0,0,0,0,0,1,Missouri,US,Midwest,10/12/62,Libra,17,Yasur,Yellow
Chris Daugherty,33,"South Vienna,  OH",Highway Construction Worker,Trades & Manufacturing,9,1,1,M,0,0,0,0,0,0,0,1,Ohio,US,Midwest,8/29/70,Virgo,18,Lopevi,Red
Jonathan Libby,23,"Dallas,  TX",Sales & Marketing Associate,"Advertising, Marketing, Sales",10,20,0,M,0,0,0,0,0,0,0,1,Texas,US,South,9/5/81,Virgo,1,N/A,N/A
Wanda Shirk,55,"Ulysses,  PA",English Teacher,Education,10,19,0,F,0,0,0,0,0,0,0,1,Pennsylvania,US,Northeast,8/24/49,Virgo,2,N/A,N/A
Jolanda Jones,39,"Houston,  TX",Attorney,"Law, Public Safety, Military",10,18,0,F,1,0,0,1,0,0,1,1,Texas,US,South,11/6/65,Scorpio,3,Ulong,Blue
Ashlee Ashby,22,"Easley,  SC",Student,Education,10,17,0,F,0,0,0,0,0,0,0,1,South Carolina,US,South,5/2/82,Taurus,4,Ulong,Blue
Jeff Wilson,21,"Ventura,  CA",Personal Trainer,"Sports, Fitness, Recreation",10,16,0,M,0,0,0,0,0,0,0,1,California,US,West,2/9/83,Aquarius,5,Ulong,Blue
Kim Mullen,25,"Huber Heights,  OH",Graduate Student,Education,10,15,0,F,0,0,0,0,0,0,0,1,Ohio,US,Midwest,3/13/79,Pisces,6,Ulong,Blue
Willard Smith,57,"Bellevue,  WA",Attorney,"Law, Public Safety, Military",10,14,0,M,0,0,0,0,0,0,0,1,Washington,US,West,11/30/47,Sagittarius,7,Koror,Brown
Angie Jakusz,24,"New Orleans,  LA",Bartender,Food and Hospitality,10,13,0,F,0,0,0,0,0,0,0,1,Louisiana,US,South,3/27/80,Aries,8,Ulong,Blue
James Miller,33,"Mobile,  AL",Steelworker,Trades & Manufacturing,10,12,0,M,0,0,0,0,0,0,0,1,Alabama,US,South,7/8/71,Cancer,9,Ulong,Blue
Ibrehem Rahman,27,"Birmingham,  AL",Model,"Arts, Media, Entertainment",10,11,0,M,1,0,0,1,0,1,0,1,Alabama,US,South,3/4/77,Pisces,10,Ulong,Blue
Bobby Jon Drinkard,27,"Troy,  AL",Waiter,Food and Hospitality,10,10,0,M,0,0,0,0,0,0,0,1,Alabama,US,South,5/10/77,Taurus,11,Ulong,Blue
Coby Archa,32,"Dallas,  TX",Hairdresser,Childcare/Domestic,10,9,0,M,0,0,0,0,0,0,1,1,Texas,US,South,9/8/72,Virgo,12,Koror,Brown
Janu Tornell,39,"Las Vegas,  NV",Vegas Showgirl,"Arts, Media, Entertainment",10,8,0,F,0,0,1,1,0,0,0,1,Nevada,US,West,5/9/65,Taurus,13,Koror,Brown
Stephenie LaGrossa,25,"Glenolden,  PA",Pharmaceutical Sales Representative,"Advertising, Marketing, Sales",10,7,0,F,0,0,0,0,0,0,0,1,Pennsylvania,US,Northeast,12/6/79,Sagittarius,14,Ulong,Blue
Gregg Carey,27,"Chicago,  IL",Business Consultant,"Business, Finance, Administrative",10,6,0,M,0,0,0,0,0,0,0,1,Illinois,US,Midwest,1/9/77,Capricorn,15,Koror,Brown
Caryn Groedel,46,"Solon,  OH",Civil Rights Attorney,"Law, Public Safety, Military",10,5,0,F,0,0,0,0,1,0,0,1,Ohio,US,Midwest,8/13/58,Leo,16,Koror,Brown
Jennifer Lyon,32,"Encino,  CA",Nanny,Childcare/Domestic,10,4,0,F,0,0,0,0,0,0,0,1,California,US,West,2/27/72,Pisces,17,Koror,Brown
Ian Rosenberger,23,"Key Largo,  FL",Dolphin Trainer,Agriculture and Environment,10,3,0,M,0,0,0,0,0,0,0,1,Florida,US,South,8/24/81,Virgo,18,Koror,Brown
Katie Gallagher,29,"Merced,  CA",Advertising Executive,"Advertising, Marketing, Sales",10,2,0,F,0,0,0,0,0,0,0,1,California,US,West,5/28/75,Gemini,19,Koror,Brown
Tom Westman,41,"Sayville,  NY",Firefighter,"Law, Public Safety, Military",10,1,1,M,0,0,0,0,0,0,0,1,New York,US,Northeast,1/4/64,Capricorn,20,Koror,Brown
Jim Lynch,63,"Northglenn,  CO",Retired Fire Captain,"Law, Public Safety, Military",11,18,0,M,0,0,0,0,0,0,0,1,Colorado,US,West,1/7/42,Capricorn,1,Nakum,Yellow
Morgan McDevitt,21,"Decatur,  IL",Magician's Assistant,"Arts, Media, Entertainment",11,17,0,F,0,0,0,0,0,0,0,1,Illinois,US,Midwest,11/24/83,Sagittarius,2,Yaxha,Blue
Brianna Varela,21,"Edmonds,  WA",Retail Salesperson,"Advertising, Marketing, Sales",11,16,0,F,0,0,1,1,0,0,0,1,Washington,US,West,10/29/83,Scorpio,3,Yaxha,Blue
Brooke Struck,26,"Hood River,  OR",Law Student,Education,11,15,0,F,0,0,0,0,0,0,0,1,Oregon,US,West,7/30/79,Leo,4,Nakum,Yellow
Blake Towsley,24,"Dallas,  TX",Real Estate Broker,Real Estate & Construction,11,14,0,M,0,0,0,0,0,0,0,1,Texas,US,South,5/5/81,Taurus,5,Nakum,Yellow
Margaret Bobonich,43,"Chardon,  OH",Nursing Practitioner,Healthcare & Wellness,11,13,0,F,0,0,0,0,0,0,0,1,Ohio,US,Midwest,6/5/62,Gemini,6,Nakum,Yellow
Brian Corridan,22,"New York,  NY",Ivy League Student,Education,11,12,0,M,0,0,0,0,0,0,1,1,New York,US,Northeast,2/10/83,Aquarius,7,Yaxha,Blue
Amy O'Hara,39,"Revere,  MA",Police Sergeant,"Law, Public Safety, Military",11,11,0,F,0,0,0,0,0,0,0,1,Massachusetts,US,Northeast,11/2/65,Scorpio,8,Yaxha,Blue
Brandon Bellinger,22,"Manhattan,  KS",Farmer,Agriculture and Environment,11,10,0,M,0,0,0,0,0,0,0,1,Kansas,US,Midwest,1/22/83,Aquarius,9,Nakum,Yellow
Bobby Jon Drinkard,27,"Troy,  AL",Waiter,Food and Hospitality,11,9,0,M,0,0,0,0,0,0,0,2,Alabama,US,South,5/10/77,Taurus,10,Nakum,Yellow
Jamie Newton,24,"North Hollywood,  CA",Water Skiing Instructor,"Sports, Fitness, Recreation",11,8,0,M,0,0,0,0,0,0,0,1,California,US,West,1/26/81,Aquarius,11,Yaxha,Blue
Gary Hogeboom,46,"Grand Haven,  MI",Former NFL Quarterback,"Sports, Fitness, Recreation",11,7,0,M,0,0,0,0,0,0,0,1,Michigan,US,Midwest,8/21/58,Leo,12,Yaxha,Blue
Judd Sergeant,34,"Ridgefield,  NJ",Hotel Doorman,Food and Hospitality,11,6,0,M,0,0,0,0,0,0,0,1,New Jersey,US,Northeast,9/13/70,Virgo,13,Nakum,Yellow
Cindy Hall,31,"Naples,  FL",Zookeeper,Agriculture and Environment,11,5,0,F,0,0,0,0,0,0,0,1,Florida,US,South,6/28/74,Cancer,14,Nakum,Yellow
Lydia Morales,42,"Lakewood,  WA",Fishmonnger,Agriculture and Environment,11,4,0,F,0,0,1,1,0,0,0,1,Washington,US,West,1/19/63,Capricorn,15,Yaxha,Blue
Rafe Judkins,22,"Providence,  RI",Wilderness Guide,"Sports, Fitness, Recreation",11,3,0,M,0,0,0,0,0,0,1,1,Rhode Island,US,Northeast,1/8/83,Capricorn,16,Yaxha,Blue
Stephenie LaGrossa,25,"Philadelphia,  PA",Pharmaceutical Sales Representative,"Advertising, Marketing, Sales",11,2,0,F,0,0,0,0,0,0,0,2,Pennsylvania,US,Northeast,12/6/79,Sagittarius,17,Yaxha,Blue
Danni Boatwright,30,"Tonganoxie,  KS",Sports Radio Host,"Arts, Media, Entertainment",11,1,1,F,0,0,0,0,0,0,0,1,Kansas,US,Midwest,7/13/75,Cancer,18,Nakum,Yellow
Tina Scheer,45,"Hayward,  WI",Lumberjill,Agriculture and Environment,12,16,0,F,0,0,0,0,0,0,0,1,Wisconsin,US,Midwest,11/17/60,Scorpio,1,Casaya,Purple
Melinda Hyder,32,"Sevierville,  TN",Singer/Entertainer,"Arts, Media, Entertainment",12,15,0,F,0,0,0,0,0,0,0,1,Tennessee,US,South,5/23/73,Gemini,2,Casaya,Purple
Misty Giles,24,"Dallas,  TX",Missile Engineer,"Science, Technology, Engineering, Energy",12,14,0,F,0,0,0,0,0,0,0,1,Texas,US,South,2/25/81,Pisces,3,Bayoneta,Blue
Ruth Marie Milliman,48,"Greenville,  SC",Property Developer,Real Estate & Construction,12,13,0,F,0,0,0,0,0,0,0,1,South Carolina,US,South,4/11/57,Aries,4,Casaya,Purple
Bobby Mason,32,"Los Angeles,  CA",Attorney,"Law, Public Safety, Military",12,12,0,M,1,0,0,1,0,0,0,1,California,US,West,8/20/73,Leo,5,Viveros,Green
Dan Barry,52,"South Hadley,  MA",Astronaut,"Science, Technology, Engineering, Energy",12,11,0,M,0,0,0,0,0,0,0,1,Massachusetts,US,Northeast,12/30/53,Capricorn,6,La Mina,Orange
Nick Stanbury,25,"Tempe,  AZ",Financial Salesman,"Advertising, Marketing, Sales",12,10,0,M,0,0,0,0,0,0,0,1,Arizona,US,West,7/21/80,Cancer,7,Viveros,Green
Austin Carty,24,"High Point,  NC",Writer,"Arts, Media, Entertainment",12,9,0,M,0,0,0,0,0,0,0,1,North Carolina,US,South,4/29/81,Taurus,8,Viveros,Green
Sally Schumann,27,"Chicago,  IL",Social Worker,"Nonprofit, Social, Religious",12,8,0,F,0,0,0,0,0,0,0,1,Illinois,US,Midwest,12/10/78,Sagittarius,9,Bayoneta,Blue
Bruce Kanegai,58,"Simi Valley,  CA",Art Teacher,Education,12,7,0,M,0,1,0,1,0,0,0,1,California,US,West,12/17/47,Sagittarius,10,La Mina,Orange
Courtney Marit,31,"Los Angeles,  CA",Fire Dancer,"Arts, Media, Entertainment",12,6,0,F,0,0,0,0,0,0,0,1,California,US,West,5/24/74,Gemini,11,Bayoneta,Blue
Shane Powers,35,"Los Angeles,  CA",Marketing Executive,"Advertising, Marketing, Sales",12,5,0,M,0,0,0,0,0,0,0,1,California,US,West,11/28/70,Sagittarius,12,La Mina,Orange
Cirie Fields,34,"Walterboro,  SC",Nurse,Healthcare & Wellness,12,4,0,F,1,0,0,1,0,0,0,1,South Carolina,US,South,7/18/70,Cancer,13,Casaya,Purple
Terry Deitz,46,"Simsbury,  CT",Pilot,Transportation & Logistics,12,3,0,M,0,0,0,0,0,0,0,1,Connecticut,US,Northeast,10/10/59,Libra,14,La Mina,Orange
Danielle DiLorenzo,24,"Pompano Beach,  FL",Medical Sales Representative,"Advertising, Marketing, Sales",12,2,0,F,0,0,0,0,0,0,0,1,Florida,US,South,6/3/81,Gemini,15,Bayoneta,Blue
Aras Baskauskas,24,"Santa Monica,  CA",Yoga Instructor,"Sports, Fitness, Recreation",12,1,1,M,0,0,0,0,0,0,0,1,California,US,West,9/26/81,Libra,16,Viveros,Green
Sekou Bunch,46,"Los Angeles,  CA",Jazz Musician,"Arts, Media, Entertainment",13,20,0,M,1,0,0,1,0,0,0,1,California,US,West,9/9/60,Virgo,1,Manihiki,Yellow
Billy Garcia,36,"New York,  NY",Heavy Metal Musician,"Arts, Media, Entertainment",13,19,0,M,0,0,1,1,0,0,0,1,New York,US,Northeast,4/22/70,Taurus,2,Aitutaki,Red
Cecilia Mansilla,29,"Oakland,  CA",Risk Consultant,"Business, Finance, Administrative",13,18,0,F,0,0,1,1,0,0,0,1,California,US,West,1/13/77,Capricorn,3,Aitutaki,Red
J.P. Calderon,30,"Marina Del Rey,  CA",Profession Volleyball Player,"Sports, Fitness, Recreation",13,17,0,M,0,0,1,1,0,0,1,1,California,US,West,9/5/75,Virgo,4,Aitutaki,Red
Stephannie Favor,35,"Columbia,  SC",Nursing Student,Education,13,16,0,F,1,0,0,1,0,0,0,1,South Carolina,US,South,7/12/70,Cancer,5,Manihiki,Yellow
Cao Boi Bui,42,"Christiansburg,  VA",Nail Salon Manager,Retail and Consumer Services,13,15,0,M,0,1,0,1,0,0,0,1,Virginia,US,South,4/10/64,Aries,6,Puka Puka,Green
Cristina Coria,35,"Los Angeles,  CA",Police Officer,"Law, Public Safety, Military",13,14,0,F,0,0,1,1,0,0,0,1,California,US,West,4/18/71,Aries,7,Aitutaki,Red
Jessica Smith,27,"Chico,  CA",Roller Girl,"Sports, Fitness, Recreation",13,13,0,F,0,0,0,0,0,0,0,1,California,US,West,1/22/79,Aquarius,8,Rarotonga,Blue
Brad Virata,27,"Los Angeles,  CA",Fashion Director,"Arts, Media, Entertainment",13,12,0,M,0,1,0,1,0,0,1,1,California,US,West,11/23/76,Sagittarius,9,Puka Puka,Green
Rebecca Borman,34,"Laurelton,  NY",Makeup Artist,"Arts, Media, Entertainment",13,11,0,F,1,0,0,1,0,0,0,1,New York,US,Northeast,8/31/71,Virgo,10,Manihiki,Yellow
Jenny Guzon-Bae,36,"Lake Forest,  IL",Real Estate Agent,Real Estate & Construction,13,10,0,F,0,1,0,1,0,0,0,1,Illinois,US,Midwest,5/8/70,Taurus,11,Puka Puka,Green
Nate Gonzalez,26,"Los Angeles,  CA",Shoe Salesman,"Advertising, Marketing, Sales",13,9,0,M,1,0,1,1,0,0,0,1,California,US,West,7/26/80,Leo,12,Manihiki,Yellow
Candice Cody,23,"Fayetteville,  NC",Pre-Med Student,Education,13,8,0,F,0,0,0,0,0,0,0,1,North Carolina,US,South,11/12/82,Scorpio,13,Rarotonga,Blue
Jonathan Penner,44,"Los Angeles,  CA",Writer,"Arts, Media, Entertainment",13,7,0,M,0,0,0,0,1,0,0,1,California,US,West,3/5/62,Pisces,14,Rarotonga,Blue
Parvati Shallow,24,"Los Angeles,  CA",Boxer,"Sports, Fitness, Recreation",13,6,0,F,0,0,0,0,0,0,1,1,California,US,West,9/21/82,Virgo,15,Rarotonga,Blue
Adam Gentry,28,"San Diego,  CA",Copier Sales Executive,"Advertising, Marketing, Sales",13,5,0,M,0,0,0,0,0,0,0,1,California,US,West,8/21/78,Leo,16,Rarotonga,Blue
Sundra Oakley,31,"Los Angeles,  CA",Actress,"Arts, Media, Entertainment",13,4,0,F,1,0,0,1,0,0,0,1,California,US,West,1/2/75,Capricorn,17,Manihiki,Yellow
Becky Lee,28,"Washington,  D.C.",Attorney,"Law, Public Safety, Military",13,3,0,F,0,1,0,1,0,0,0,1,"Washington,  D.C.",US,South,9/11/77,Virgo,18,Puka Puka,Green
Ozzy Lusth,25,"Venice,  CA",Waiter,Food and Hospitality,13,2,0,M,0,0,1,1,0,0,1,1,California,US,West,8/23/81,Virgo,19,Aitutaki,Red
Yul Kwon,31,"San Mateo,  CA",Management Consultant,"Business, Finance, Administrative",13,1,1,M,0,1,0,1,0,0,0,1,California,US,West,2/14/75,Aquarius,20,Puka Puka,Green
Jessica deBen,27,"Los Angeles,  CA",Fashion Stylist,Retail and Consumer Services,14,19,0,F,0,0,0,0,0,0,0,1,California,US,West,4/25/79,Taurus,1,Ravu,Orange
Erica Durousseau,27,"Lake Charles,  LA",Non-Profit Fundraiser,"Nonprofit, Social, Religious",14,18,0,F,1,0,0,1,0,0,0,1,Louisiana,US,South,12/11/79,Sagittarius,2,Ravu,Orange
Sylvia Kwan,52,"Ross,  CA",Architect,Real Estate & Construction,14,17,0,F,0,1,0,1,0,0,0,1,California,US,West,8/18/54,Leo,3,Ravu,Orange
Gary Stritesky,55,"Ramsey,  MN",School Bus Driver,Transportation & Logistics,14,16,0,M,0,0,0,0,0,0,0,1,Minnesota,US,Midwest,9/16/51,Virgo,4,Moto,Green
Liliana Gomez,25,"Oxnard,  CA",Loan Officer,"Business, Finance, Administrative",14,15,0,F,0,0,1,1,0,0,0,1,California,US,West,4/5/81,Aries,5,Moto,Green
Rita Verreos,38,"San Antonio,  TX",Single Mother,Childcare/Domestic,14,14,0,F,0,0,1,1,0,0,0,1,Texas,US,South,7/19/68,Cancer,6,Ravu,Orange
Anthony Robinson,32,"Compton,  CA",Expert Witness Locator,"Law, Public Safety, Military",14,13,0,M,1,0,0,1,0,0,0,1,California,US,West,6/25/74,Cancer,7,Ravu,Orange
Rocky Reid,28,"Los Angeles,  CA",Bartender,Food and Hospitality,14,12,0,M,0,0,0,0,0,0,0,1,California,US,West,9/11/78,Virgo,8,Ravu,Orange
Lisi Linares,36,"Los Angeles,  CA",Customer Service Representative,"Business, Finance, Administrative",14,11,0,F,0,0,1,1,0,0,0,1,California,US,West,6/9/70,Gemini,9,Moto,Green
Michelle Yi,23,"Cincinnati,  OH",Student,Education,14,10,0,F,0,1,0,1,0,0,0,1,Ohio,US,Midwest,12/2/83,Sagittarius,10,Ravu,Orange
Edgardo Rivera,28,"Miami Beach,  FL",Advertising Executive,"Advertising, Marketing, Sales",14,9,0,M,0,0,1,1,0,0,0,1,Florida,US,South,10/5/78,Libra,11,Moto,Green
Mookie Lee,25,"Chicago,  IL",Business Consultant,"Business, Finance, Administrative",14,8,0,M,0,1,0,1,0,0,0,1,Illinois,US,Midwest,11/10/81,Scorpio,12,Ravu,Orange
Alex Angarita,28,"Los Angeles,  CA",Attorney,"Law, Public Safety, Military",14,7,0,M,0,0,1,1,0,0,0,1,California,US,West,4/20/78,Taurus,13,Moto,Green
Stacy Kimball,27,"Boulder,  CO",Web Producer,"Science, Technology, Engineering, Energy",14,6,0,F,0,1,0,1,0,0,0,1,Colorado,US,West,10/1/79,Libra,14,Moto,Green
Boo Bernis,34,"Lafayette,  LA",Construction Worker,Real Estate & Construction,14,5,0,M,0,0,0,0,0,0,0,1,Louisiana,US,South,6/21/72,Cancer,15,Moto,Green
Yau-Man Chan,54,"Martinez,  CA",Internet Technology Director,"Science, Technology, Engineering, Energy",14,4,0,M,0,1,0,1,0,0,0,1,California,US,West,8/26/52,Virgo,16,Ravu,Orange
Cassandra Franklin,42,"Los Angeles,  CA",College Administrator,Education,14,2,0,F,1,0,0,1,0,0,0,1,California,US,West,4/19/64,Aries,18,Moto,Green
Dreamz Herd,25,"Wilmington,  NC",Cheerleading Coach,"Sports, Fitness, Recreation",14,2,0,M,1,0,0,1,0,0,0,1,North Carolina,US,South,12/15/81,Sagittarius,18,Moto,Green
Earl Cole,35,"Santa Monica,  CA",Advertising Executive,"Advertising, Marketing, Sales",14,1,1,M,1,0,0,1,0,0,0,1,California,US,West,4/9/71,Aries,19,Ravu,Orange
Chicken Morris,47,"Marion,  VA",Chicken Farmer,Agriculture and Environment,15,16,0,M,0,0,0,0,0,0,0,1,Virginia,US,South,9/2/59,Virgo,1,Zhan Hu,Yellow
Ashley Massaro,28,"East Northport,  NY",Professional Wrestler,"Sports, Fitness, Recreation",15,15,0,F,0,0,0,0,0,0,0,1,New York,US,Northeast,5/26/79,Gemini,2,Zhan Hu,Yellow
Leslie Nease,38,"Tega Cay,  SC",Christian Radio Host,"Arts, Media, Entertainment",15,14,0,F,0,0,0,0,0,0,0,1,South Carolina,US,South,3/25/69,Aries,3,Fei Long,Red
Dave Cruser,37,"Simi Valley,  CA",Former Model,"Arts, Media, Entertainment",15,13,0,M,0,0,0,0,0,0,0,1,California,US,West,10/26/69,Scorpio,4,Zhan Hu,Yellow
Aaron Reisberger,32,"Venice,  CA",Surfing Instructor,"Sports, Fitness, Recreation",15,12,0,M,0,0,0,0,0,0,0,1,California,US,West,4/25/75,Taurus,5,Fei Long,Red
Sherea Lloyd,26,"Atlanta,  GA",Elementary Teacher,Education,15,11,0,F,1,0,0,1,0,0,0,1,Georgia,US,South,7/31/81,Leo,6,Zhan Hu,Yellow
Jaime Dugan,22,"Columbia,  SC",Student,Education,15,10,0,F,0,0,0,0,0,0,0,1,South Carolina,US,South,6/30/85,Cancer,7,Zhan Hu,Yellow
Jean-Robert Bellande,36,"Las Vegas,  NV",Profession Poker Player,"Sports, Fitness, Recreation",15,9,0,M,0,0,0,0,0,0,0,1,Nevada,US,West,9/17/70,Virgo,8,Fei Long,Red
Frosti Zernow,20,"Chicago,  IL",Student/Athlete,Education,15,8,0,M,0,1,0,1,0,0,0,1,Illinois,US,Midwest,2/15/87,Aquarius,9,Zhan Hu,Yellow
James Clement,30,"Lafayette,  LA",Gravedigger,End-of-life Services,15,7,0,M,1,0,0,1,0,0,0,1,Louisiana,US,South,3/9/77,Pisces,10,Fei Long,Red
Erik Huffman,26,"Nashville,  TN",Musician,"Arts, Media, Entertainment",15,6,0,M,0,0,0,0,0,0,0,1,Tennessee,US,South,1/31/81,Aquarius,11,Zhan Hu,Yellow
Peih-Gee Law,29,"Marina Del Rey,  CA",Jeweler,"Arts, Media, Entertainment",15,5,0,F,0,1,0,1,0,0,0,1,California,US,West,4/7/78,Aries,12,Zhan Hu,Yellow
Denise Martin,40,"Douglas,  MA",School Lunch Lady,Education,15,4,0,F,0,0,0,0,0,0,0,1,Massachusetts,US,Northeast,5/5/67,Taurus,13,Fei Long,Red
Amanda Kimmel,23,"Kalispell,  MT",Hiking Guide,"Sports, Fitness, Recreation",15,3,0,F,0,0,0,0,0,0,0,1,Montana,US,West,8/3/84,Leo,14,Fei Long,Red
Courtney Yates,26,"New York,  NY",Waitress,Food and Hospitality,15,2,0,F,0,0,0,0,0,0,0,1,New York,US,Northeast,3/26/81,Aries,15,Fei Long,Red
Todd Herzog,22,"Pleasant Grove,  UT",Flight Attendant,Transportation & Logistics,15,1,1,M,0,0,0,0,0,0,1,1,Utah,US,West,1/29/85,Aquarius,16,Fei Long,Red
Jon Dalton,33,"Danville,  VA",Art Consultant,"Arts, Media, Entertainment",16,20,0,M,0,0,0,0,0,0,0,2,Virginia,US,South,3/11/74,Pisces,1,Malakal,Purple
Mary Sartain,29,"Emeryville,  CA",Real Estate Manager,Real Estate & Construction,16,19,0,F,0,0,0,0,0,0,0,1,California,US,West,11/11/78,Scorpio,2,Airai,Orange
Yau-Man Chan,55,"Martinez,  CA",Internet Technology Director,"Science, Technology, Engineering, Energy",16,18,0,M,0,1,0,1,0,0,0,2,California,US,West,8/26/52,Virgo,3,Malakal,Purple
Mikey Bortone,34,"Los Angeles,  CA",Aspiring Writer,"Arts, Media, Entertainment",16,17,0,M,0,0,0,0,0,0,0,1,California,US,West,12/29/73,Capricorn,4,Airai,Orange
Joel Anderson,32,"Avondale,  AZ",Firefighter,"Law, Public Safety, Military",16,16,0,M,0,0,0,0,0,0,0,1,Arizona,US,West,6/1/75,Gemini,5,Airai,Orange
Jonathan Penner,45,"Los Angeles,  CA",Writer,"Arts, Media, Entertainment",16,15,0,M,0,0,0,0,1,0,0,2,California,US,West,3/5/62,Pisces,6,Malakal,Purple
Chet Welch,48,"Ford City,  PA",Pageant Coach,"Arts, Media, Entertainment",16,14,0,M,0,0,0,0,0,0,1,1,Pennsylvania,US,Northeast,10/22/59,Libra,7,Airai,Orange
Kathy Sleckman,45,"Glen Ellyn,  IL",Golf Course Vendor,"Sports, Fitness, Recreation",16,13,0,F,0,0,0,0,0,0,0,1,Illinois,US,Midwest,8/14/62,Leo,8,Airai,Orange
Tracy Hughes-Wolf,43,"Fredericksburg,  VA",Residential Builder,Real Estate & Construction,16,12,0,F,0,0,0,0,0,0,0,1,Virginia,US,South,7/9/64,Cancer,9,Airai,Orange
Ami Cusack,34,"Golden,  CO",Nanny,Childcare/Domestic,16,11,0,F,0,0,0,0,0,0,1,2,Colorado,US,West,1/25/73,Aquarius,10,Malakal,Purple
Eliza Orlins,25,"New York,  NY",Law School Student,Education,16,10,0,F,0,0,0,0,1,0,0,2,New York,US,Northeast,12/25/82,Capricorn,11,Malakal,Purple
Ozzy Lusth,26,"Venice,  CA",Photographer,"Arts, Media, Entertainment",16,9,0,M,0,0,1,1,0,0,1,2,California,US,West,8/23/81,Virgo,12,Malakal,Purple
Jason Siska,22,"Fox River Grove,  IL",Gymnastics Coach,"Sports, Fitness, Recreation",16,8,0,M,0,0,0,0,0,0,0,1,Illinois,US,Midwest,3/4/85,Pisces,13,Airai,Orange
James Clement,30,"Lafayette,  LA",Gravedigger,End-of-life Services,16,7,0,M,1,0,0,1,0,0,0,2,Louisiana,US,South,3/9/77,Pisces,14,Malakal,Purple
Alexis Jones,24,"Beverly Hills,  CA",Motivational Speaker,"Arts, Media, Entertainment",16,6,0,F,0,0,0,0,0,0,0,1,California,US,West,7/6/83,Cancer,15,Airai,Orange
Erik Reichenbach,22,"Pinckney,  MI",Ice Cream Scooper,Food and Hospitality,16,5,0,M,0,0,0,0,0,0,0,1,Michigan,US,Midwest,11/27/85,Sagittarius,16,Airai,Orange
Natalie Bolton,32,"Los Angeles,  CA",Personal Trainer,"Sports, Fitness, Recreation",16,4,0,F,0,1,0,1,0,0,1,1,California,US,West,12/31/75,Capricorn,17,Airai,Orange
Cirie Fields,37,"Norwalk,  CT",Nurse,Healthcare & Wellness,16,3,0,F,1,0,0,1,0,0,0,2,Connecticut,US,Northeast,7/18/70,Cancer,18,Malakal,Purple
Amanda Kimmel,23,"Los Angeles,  CA",Aspiring Designer,"Arts, Media, Entertainment",16,2,0,F,0,0,0,0,0,0,0,2,California,US,West,8/3/84,Leo,19,Malakal,Purple
Parvati Shallow,25,"Los Angeles,  CA",Charity Organizer,"Nonprofit, Social, Religious",16,1,1,F,0,0,0,0,0,0,1,2,California,US,West,9/21/82,Virgo,20,Malakal,Purple
Michelle Chase,24,"Los Angeles,  CA",Music Producer,"Arts, Media, Entertainment",17,18,0,F,0,0,0,0,0,0,0,1,California,US,West,3/7/84,Pisces,1,Fang,Red
Gillian Larson,61,"Temecula,  CA",Retired Nurse,Healthcare & Wellness,17,17,0,F,0,0,0,0,0,0,0,1,California,US,West,2/24/47,Pisces,2,Fang,Red
Paloma Soto-Castillo,24,"Downey,  CA",Student,Education,17,16,0,F,0,0,1,1,0,0,0,1,California,US,West,8/24/84,Virgo,3,Kota,Yellow
Jacquie Berg,25,"Santa Barbara,  CA",Medical Saleswoman,"Advertising, Marketing, Sales",17,15,0,F,0,0,0,0,0,0,0,1,California,US,West,9/10/82,Virgo,4,Kota,Yellow
GC Brown,26,"Portland,  OR",Maintenance Man,Trades & Manufacturing,17,14,0,M,1,0,0,1,0,0,0,1,Oregon,US,West,7/13/82,Cancer,5,Fang,Red
Kelly Czarnecki,22,"Buffalo Grove,  IL",Retail Saleswoman,"Advertising, Marketing, Sales",17,13,0,F,0,0,0,0,0,0,0,1,Illinois,US,Midwest,4/4/86,Aries,6,Kota,Yellow
Ace Gordon,27,"Naples,  FL",Jewelry Salesman/Photographer,"Advertising, Marketing, Sales",17,12,0,M,0,0,0,0,0,0,0,1,Florida,US,South,9/3/80,Virgo,7,Kota,Yellow
